case	verdict	cycles	instrs	host_ms	stop_sym	known_hang	review
artifacts/T-mmode-pmp-locked-bypass/variant2/l1_tor_load.S	SELF_TEST_FAIL	4689	2319	40013	FAIL	-	-
artifacts/T-mmode-pmp-locked-bypass/variant2/l1_napot_load.S	SELF_TEST_FAIL	4732	2224	40038	FAIL+0x2	-	-
artifacts/T-mmode-pmp-locked-bypass/variant2/l1_tor_e2_load.S	SELF_TEST_FAIL	4666	2150	40010	FAIL	-	-
artifacts/T-mmode-pmp-locked-bypass/variant2/s_mode_l1_tor_load.S	SELF_TEST_FAIL	4817	2240	39988	FAIL+0x2	-	-
artifacts/T-mmode-pmp-locked-bypass/variant2/mprv_l1_tor_load.S	GOODTRAP	2434	52	25776	RESUME+0x10	-	-
